id,price,name
202,9.95,Lamb Roshni
203,9.95,Saag - Prawn
204,9.95,Methi - Prawn
205,9.95,Rogon - Prawn
206,9.95,Mushroom - Prawn
207,10.95,Lamb Tikka Biryani
208,10.95,Chicken Tikka Balti
209,10.95,Lamb Tikka Balti
210,10.95,Prawn Biryani
211,10.95,Paneer Tikka Balti
212,10.95,Chicken Tikka Biryani
213,10.95,Persian Lamb Biryani
214,10.95,Prawn Balti
215,10.95,Persian Chicken Biryani
216,10.95,Lamb Persian
217,11.95,Tandoori Mixed Grill
218,11.95,Curry - King Prawn
219,11.95,Madras - King Prawn
220,11.95,Tandoori Fish (Main)
221,11.95,Vindaloo - King Prawn
222,12.95,Tandoori King Prawn Garlic
223,12.95,Chicken Shashlick Curry
224,12.95,King Prawn Hari Mirch
225,12.95,Hazary Lamb Chilli Garlic
226,12.95,Lamb Shashlick Curry
227,12.95,King Prawn Shaslick
228,12.95,Dhansak - King Prawn
229,12.95,Bengal King Prawn
230,12.95,Korma - King Prawn
231,12.95,Bhuna - King Prawn
232,12.95,Hazary Lamb
233,12.95,Bengal Fish Biryani
234,12.95,Tandoori King Prawn Masala
235,12.95,King Prawn Biryani
236,12.95,Saag - King Prawn
237,12.95,Dupiaza - King Prawn
238,12.95,Pathia - King Prawn
239,12.95,Bengal Fry Fish
240,12.95,King Prawn Balti
241,12.95,Bengal Fish Karahi
242,12.95,Rogon - King Prawn
243,12.95,Mushroom - King Prawn
244,12.95,King Prawn Karahi
245,12.95,Methi - King Prawn
246,12.95,Kurma
247,17.95,House Red wine 75cl
248,17.95,House white wine 75cl
