id,datetime,name,quantity,price
106,2019-08-03 18:00:00,Mint Sauce,1,0.5
107,2019-08-03 18:00:00,Mango Chutney,1,0.5
108,2019-08-03 18:00:00,Korma Sauce,1,3.95
109,2019-08-03 17:58:00,Pathia - Prawn,1,9.95
110,2019-08-03 17:58:00,Chicken Biryani,1,9.95
111,2019-08-03 17:58:00,Peshwari Naan,2,2.95
112,2019-08-03 17:58:00,Plain Papadum,1,0.8
113,2019-08-03 17:58:00,Mint Sauce,1,0.5
114,2019-08-03 17:57:00,Chicken Tikka Jalfrezi,1,8.95
115,2019-08-03 17:57:00,Bhuna - Lamb,1,8.95
116,2019-08-03 17:57:00,Special Fried Rice,2,3.95
117,2019-08-03 17:57:00,Peshwari Naan,1,2.95
118,2019-08-03 17:57:00,Aloo Gobi,1,5.95
119,2019-08-03 17:57:00,Chicken Tikka Masala,1,8.95
120,2019-08-03 17:52:00,Meat Samosa,1,3.95
121,2019-08-03 17:52:00,Mixed Vegetable Curry,1,5.95
122,2019-08-03 17:52:00,Dupiaza - Lamb,1,8.95
123,2019-08-03 17:52:00,Lemon Rice,1,3.95
124,2019-08-03 17:52:00,Methi - Lamb,1,8.95
125,2019-08-03 17:52:00,Pilau Rice,1,2.95
126,2019-08-03 17:52:00,Garlic Naan,1,2.95
127,2019-08-03 17:52:00,Onion Bhajee,1,3.95
128,2019-08-03 17:52:00,Spicy Papadum,1,0.8
129,2019-08-03 17:18:00,Plain Naan,1,2.6
130,2019-08-03 17:18:00,Pilau Rice,1,2.95
131,2019-08-03 17:18:00,Chicken Tikka Masala,1,8.95
132,2019-08-03 17:18:00,Bhuna - Lamb,1,8.95
133,2019-08-03 17:18:00,Plain Papadum,2,0.8
134,2019-08-03 16:21:00,Lamb Biryani,1,9.95
135,2019-08-03 16:21:00,Plain Naan,2,2.6
136,2019-08-02 20:23:00,Lamb Tikka,1,4.95
137,2019-08-02 20:23:00,Onion Bhajee,1,3.95
138,2019-08-02 20:23:00,Saag Paneer,1,5.95
139,2019-08-02 20:23:00,Chicken Tikka Masala,1,8.95
140,2019-08-02 20:23:00,Keema Rice,1,3.95
141,2019-08-02 20:23:00,Rogon - Lamb,1,8.95
142,2019-08-02 20:23:00,Chicken Tikka Karahi,1,9.95
143,2019-08-02 20:23:00,Pilau Rice,1,2.95
144,2019-08-02 20:23:00,Bombay Aloo,1,5.95
145,2019-08-02 20:18:00,Onion Bhajee,1,3.95
146,2019-08-02 20:18:00,French Fries,1,3.95
147,2019-08-02 20:18:00,Chicken Tikka Masala,1,8.95
148,2019-08-02 20:18:00,Korma - Chicken,1,8.95
